FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
0,39.8,6.44,17.54,35.55,48.94,2.55,6.03,28.36,3.7,73.91,3.72,11.17
1001,29.8,1.25,9.7,24.34,25.45,1.17,10.11,27.88,0.18,58.36,23.9,0.9
1003,17.2,4.25,10.85,53.95,19.51,1.83,5.48,70.25,15.83,78.42,10.64,54.45
1005,27,2.36,6.59,16.52,30,7.43,28.16,27.11,1.36,63.91,7.19,
1007,14,0.14,3.97,19.32,29.43,0.76,4.64,,0,55.13,0,
1009,35.9,0.63,10.61,20.98,48.17,1.18,29.6,18.45,4.43,81.7,3.77,1.18
1011,28.9,0.1,5.01,8.61,32.47,5.6,20.77,19.5,0.43,46.45,,2.12
1013,17,0.65,3.56,16.92,23.16,1.69,19.21,11.66,1.86,51.77,,12.12
1015,22.9,1.19,7.34,26.12,37.8,1.23,34.43,17.85,,69.65,11.43,0.28
1017,33.7,0.12,3.27,7.45,37.42,1.58,63.78,13.22,,169.59,,0.51
1019,34.2,0.66,20.54,42.57,21.89,2.22,8.45,33.11,2.34,89.67,33.63,3.79
1021,17.2,1.13,4.96,21.19,40.58,1.41,7.11,26.09,1.72,54.15,8.75,4.93
1023,14.1,0.04,1.13,5.42,16.88,0.48,22.85,8.31,,21.14,3.63,0
1025,8.1,0.01,1.41,11.81,27.63,0.24,4.54,,,23.86,,
1027,18.4,0.02,3.16,14.36,54.66,0.75,65.01,7.92,,85.68,0,0.22
1029,13.5,0.75,2.5,15.26,46.37,,70.68,13.19,,100.56,,0.41
1031,40.8,2.28,14.79,25.36,27.43,5.86,22.26,39.3,6.18,69.1,13.85,10.39
1033,39.6,,22.62,52.12,23.9,1.41,9.4,67.85,6.36,85.73,6.33,3.07
1035,19.1,0.07,4.9,20.74,22.21,3.41,10.1,23.63,0.36,57.14,41.4,1.82
1037,11,0.1,1.24,8.87,42.47,0.17,22.47,0.39,0,25.93,0,0.1
1039,24.5,0.82,8.23,26.19,26.64,5.86,20.59,40.82,3,63.12,15.2,16.07
1041,29.3,0.02,6.06,13.95,34.32,4.59,30.37,10.98,4.29,73.88,,8.19
1043,44.5,0.9,12.95,23.37,43.21,1.23,58.6,34.39,1.6,99.04,1.88,5.07
1045,38.1,1.79,14.62,25.11,22.37,3.84,15.85,50.39,2.83,67.95,14.6,13.83
1047,42,2.42,12.24,20.84,25.51,3.86,12.15,45.9,,63.97,22.4,20.35
1049,49.7,0.44,18.4,29.37,43.6,0.89,40.82,13.65,1.01,90.03,2.87,3.29
1051,23.7,2.74,8.81,29.19,31.22,0.9,5.07,52.11,12.65,75.87,24.44,
1053,17.5,2.95,9.15,43.89,15.76,4.03,3.92,65.45,19.78,74.02,21.85,39.53
1055,26.1,0.7,7.23,20.49,41.72,2.57,31.33,20.56,5.67,78.39,4.85,4.32
1057,17,0.25,5.22,24.53,26.07,3.06,16.23,24.26,,64.9,20.47,0.08
1059,31.9,,7.99,19.52,47.82,1.29,41.71,13.81,,90.85,13.23,0.06
1061,49.9,3.02,22.22,33.82,21.09,7.18,16.06,40.39,4.28,54.39,21.98,10.68
1063,37,0.04,4.93,7.67,29.89,5.31,3.82,10.65,0,25.64,,
1065,38.3,0.71,5.03,9.82,45.58,1.83,5.56,22.63,,120.88,0,
1067,48.4,7.36,20.63,31.3,21.07,4.45,9.07,53.57,6.5,65.45,19.25,28.04
1069,40,6.72,23.16,47.69,19.68,4.65,3.94,65.27,10.37,74.01,22.56,32.12
1071,31.7,0.64,13.84,37.02,30.63,1.55,17.6,30.42,0.29,82.15,4.05,10.41
1073,5.3,0.43,0.98,15.12,26.8,0.5,5.65,13.27,0,35.43,,0.43
1075,19,0.41,3.1,12.41,21.34,1.62,19.07,26.2,,55.41,,
1077,49.2,0.41,25.48,41.24,30.32,2.64,6.84,49.55,6.91,81.67,25.47,13.67
1079,48.4,2.98,27.33,50.78,30.76,4.47,24.19,56.51,14.71,84.98,21.03,12.92
1081,17.4,0.27,2.31,9.38,33.58,1.13,7.39,22.4,,73.91,6.76,0.46
1083,62.7,4.64,42.17,60.34,21.35,0.9,10.31,58.73,5.47,85.76,15.78,22.58
1085,44.3,3.05,10.14,16.98,52.96,2.38,17.82,30.11,1.29,77.4,,6.39
1087,30.8,2.15,10.47,21.88,26.6,3.7,8.21,37.26,,60.8,28.51,3.29
1089,36,5.77,25.64,65.11,15.46,0.72,1.98,69.57,7.71,89.09,22.9,22.83
1091,23.6,0.53,4.49,13.5,38.37,2.77,1.98,3.78,,49.43,3.88,
1093,17.4,,4.27,18.23,41.87,1.96,40.15,22.08,,85.99,,
1095,40.1,0.19,12.4,25.33,45.87,1.21,62.8,17.63,0.48,94.24,0.02,0.46
1097,12.1,3.24,4.79,31.95,25.28,1.73,14,59.99,,69.16,21.43,44.72
1099,21.5,0.94,6.41,25.03,20.32,2.15,6.64,69.85,30.98,87.11,35.18,30.22
1101,46.4,0.05,11.33,16.47,51.1,2.34,11.83,10.59,,47.96,3.44,
1103,36.4,0.26,12.37,29.19,42.29,2.6,47.86,22.57,,70.19,4.53,4.12
1105,35.4,1.81,8.95,19.43,27.53,5.15,8.3,38.89,0.73,64.51,5.72,8.29
1107,18.6,2.27,4.81,18.54,25.78,3.06,12.63,42.43,,67.52,23.86,
1109,38.5,1.75,9.44,17.13,31.08,4.78,31.61,20.83,,63.68,6.54,9.73
1111,32.4,0.18,5.31,9.67,50.39,1.29,78.66,6.92,0,103.38,0.43,0.02
1113,24,3.72,7.59,22.19,20.15,3.42,8.48,59.59,31.73,66.85,20.64,7.64
1115,14.6,1.43,3.57,18.32,46.84,1.51,23.56,19.9,1.89,69.89,0.08,2.11
1117,13.4,3,5.22,31.08,37.7,,5.19,47.46,10.81,70.93,19.58,6.62
1119,31.2,0.64,5.38,11.3,33.31,11.15,11.57,13.31,,32.25,,0.26
1121,16.9,5.57,6.36,31.48,42.96,0.72,13.92,41.19,,67.63,17.42,26.05
1123,14.4,,1.86,9.57,47.15,0.47,16.57,17.32,0,42.54,,0.93
1125,11.2,0.4,2.78,17.86,29.03,0.78,8.15,24.61,,50.22,6.03,7.19
1127,12.8,0.17,3.15,19.39,32.29,0.52,17.61,12.52,0,53.35,,0.19
1129,17.3,0.05,3.23,14.72,18.51,0.62,18.53,34.14,,62.36,23.75,19.4
1131,29.1,,4.73,8.28,27.21,3.78,15.47,2.55,0,26.53,,
1133,14.6,1.12,3.03,15.46,53.74,0.92,46.41,14.19,0.54,68.75,0,0.41
2010,0.4,0,0,,99.85,,1.12,,0,,,0
2020,0.1,3.22,0.04,31.06,,,5.12,0.41,,17.97,0.1,0.1
2090,0.1,1.08,0.05,18.78,10.5,15.67,1.36,0.54,0.03,12.91,,0.1
2110,0,3.8,0,,,0,5.88,,,0,0,0
2122,0.3,0.47,0.04,,76.3,,6.09,,,,,0
4001,77.5,0.21,0.42,0.1,88.04,0,15,0.17,0,1.27,0,0
4003,24.7,8.84,3.87,8.98,85.23,0,10.02,39.21,1.73,54.75,,2.85
4005,51.5,0.02,0.06,0.01,98.52,0,13.05,0.3,,,0,0.06
